,ID,Name,Address,IsNetObject,TypeObject,is_actual
4590,261804,SEMENOV,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Весковский переулок, дом 7",,бар,True
6861,254183,Фитнес-бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, проезд Донелайтиса, дом 14",,бар,True
6460,249941,Сквот,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Шаболовка, дом 2, строение 1",нет,бар,True
8887,249301,Мята Lounge,"город Москва, улица Адмирала Лазарева, дом 2",,бар,True
2519,245907,Bulldogbar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, Щёлковское шоссе, дом 94",,бар,True
690,236428,351 Bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Фридриха Энгельса, дом 3-5, строение 1",,бар,True
3041,228268,Бар Следующая станция Ботанический сад Locol Station,"город Москва, Лазоревый проезд, дом 1А, корпус 1",нет,бар,True
7963,226682,Бар Панорама,"Российская Федерация, город Москва, внутригородская территория поселение Первомайское, деревня Рогозинино, земельный участок 9/1",нет,бар,True
7103,223053,Бар Right Hops,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Столярный переулок, дом 3, корпус 13",нет,бар,True
9903,222935,Бар «Pinta Bar»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 26",,бар,True
2395,221167,Лоби бар «Галерея»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Автозаводская улица, дом 23, строение 16",нет,бар,True
1494,220516,Кофе-бар,"город Москва, Пятницкое шоссе, дом 18",,бар,True
863,219027,Три Обезьяны,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Грузинская улица, дом 4-6, строение 1В",нет,бар,True
4772,218175,CRAFTER,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Малый Палашёвский переулок, дом 6",нет,бар,True
8856,213573,Лобби,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Каланчёвская улица, дом 21/40",,бар,True
5144,212125,Ботанист,"город Москва, проспект Мира, дом 26, строение 1",,бар,True
3126,211469,Hop gun bar Рюмочная,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Люблинская улица, дом 165, корпус 1",нет,бар,True
5125,210181,ПраймБиф Бар,"город Москва, Пресненская набережная, дом 10, строение 2",нет,бар,True
5977,207271,Амстердам Бар,"город Москва, Большая Новодмитровская улица, дом 36, строение 12",нет,бар,True
5159,207033,Шестнадцать тонн,"город Москва, улица Арбат, дом 28/1, строение 1",нет,бар,True
2136,205155,ЦИРК,"город Москва, Цветной бульвар, дом 21, строение 7",,бар,True
4365,205092,ЦАРЬ-ПИВО,"город Москва, проспект Вернадского, дом 123, строение 2",,бар,True
8829,202223,Paradise SPA Club,"город Москва, улица Покровка, дом 40Б",,бар,True
8308,201748,Piri Piri,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Петровка, дом 23/10, строение 5",нет,бар,True
6754,201284,Филармония,"город Москва, Цветной бульвар, дом 7, строение 1",нет,бар,True
603,200278,Сон Менделеева,"город Москва, Сущёвская улица, дом 21, строение 10",нет,бар,True
1445,198734,Крафт-Паб «69 Pints»,"город Москва, улица Барклая, дом 12",нет,бар,True
4901,197569,Андрбар,"город Москва, Таганская площадь, дом 86/1, строение 1",нет,бар,True
9244,192865,Политех,"город Москва, Лубянский проезд, дом 5, строение 1",нет,бар,True
7089,187885,Bigati Bar,"город Москва, улица Земляной Вал, дом 1/4, строение 1",,бар,True
7580,186731,SAN BAR,"город Москва, поселение Воскресенское, посёлок Воскресенское, дом 40, корпус 2",нет,бар,True
9067,186348,Кальян-бар Мята Lounge,"город Москва, Керченская улица, дом 1Б",нет,бар,True
7842,185802,24 Градуса,"город Москва, улица Адмирала Лазарева, дом 38",,бар,True
2685,181773,Кальян-бар МСК,"город Москва, Севастопольский проспект, дом 61, корпус 1",нет,бар,True
3083,181036,Крафт Бар «Пьяный тюлень»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Дербеневская набережная, дом 13/17, корпус 1",,бар,True
6235,177519,Бар Джентльмен клуб Леди,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 3",нет,бар,True
6527,175576,Зеленая собака,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Кузнецкий Мост, дом 3, строение 2",,бар,True
1689,174842,Блэк Стоун,"Большая Серпуховская улица, дом 48, строение 2",,бар,True
5817,173504,Паб and Пиццерия,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Комсомольская площадь, дом 6, сооружение 1",нет,бар,True
5498,171312,Биркрафт,"город Москва, Лесная улица, дом 1/2",нет,бар,True
3028,170820,Слепой пью,"город Москва, улица Арбат, дом 30/3, строение 1",нет,бар,True
1325,170392,Бильярдный клуб «Француз»,"город Москва, улица Сталеваров, дом 14, корпус 1",нет,бар,True
8896,168767,Золотая вобла,"город Москва, Протопоповский переулок, дом 3",да,бар,True
4531,167436,Harat's Pub,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 6",нет,бар,True
8655,166754,Пивоварня,"город Москва, Ангарская улица, дом 1",,бар,True
4795,166287,Бродо,"город Москва, улица Петровка, дом 28, строение 1",нет,бар,True
5289,165621,Караоке-бар «Bar Les»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 7А",нет,бар,True
8014,163951,Лобби- бар,"город Москва, Ленинский проспект, дом 158",нет,бар,True
